1.589029e-075	1.130575e-075	4.015285e-082	1.693266e-084	3.807595e-104	
9.397855e-074	5.542801e-074	1.054178e-079	2.859149e-082	1.528772e-101	
5.797558e-072	2.717434e-072	2.768812e-077	4.827790e-080	6.138107e-099	
2.735964e-070	3.958622e-071	3.472988e-075	1.194246e-078	2.323535e-096	
1.427546e-068	5.766560e-070	4.357952e-073	2.954197e-077	8.795567e-094	
6.755589e-066	2.446707e-067	3.422583e-070	7.097832e-074	9.912296e-093	
1.743020e-065	7.842963e-067	1.480724e-069	5.230019e-073	2.824637e-091	
4.485930e-065	2.513625e-066	6.405851e-069	3.853725e-072	8.049166e-090	
1.150880e-064	8.054073e-066	2.771083e-068	2.839607e-071	2.293713e-088	
2.940816e-064	2.579814e-065	1.198591e-067	2.092357e-070	6.536232e-087	
7.476262e-064	8.259796e-065	5.183287e-067	1.541748e-069	1.862583e-085	
1.888162e-063	2.642960e-064	2.240738e-066	1.136033e-068	5.307671e-084	
4.727827e-063	8.450090e-064	9.681068e-066	8.370826e-068	1.512489e-082	
1.170417e-062	2.698724e-063	4.178520e-065	6.168021e-067	4.310033e-081	
2.853218e-062	8.606307e-063	1.800447e-064	4.544889e-066	1.228199e-079	
6.808140e-062	2.739158e-062	7.735073e-064	3.348890e-065	3.499913e-078	
1.574879e-061	8.695053e-062	3.306329e-063	2.467620e-064	9.973451e-077	
3.473142e-061	2.750569e-061	1.400805e-062	1.818259e-063	2.842063e-075	
7.062543e-061	8.662732e-061	5.841806e-062	1.339780e-062	8.098826e-074	
1.217223e-060	2.713962e-060	2.366215e-061	9.872130e-062	2.307865e-072	
3.490200e-059	1.292957e-058	5.497558e-059	1.666950e-059	9.266211e-070	
2.633473e-058	5.433959e-057	1.323113e-056	2.814713e-057	3.720437e-067	
2.669101e-057	3.581067e-056	7.752727e-056	1.140810e-056	1.583457e-066	
2.380706e-056	3.210042e-055	6.984894e-055	1.116704e-055	5.023166e-065	
2.112457e-055	2.864748e-054	6.269875e-054	1.093107e-054	1.593488e-063	
1.863080e-054	2.543558e-053	5.604337e-053	1.070009e-053	5.054989e-062	
1.631373e-053	2.244944e-052	4.985152e-052	1.047399e-052	1.603584e-060	
1.416213e-052	1.967473e-051	4.409386e-051	1.025266e-051	5.087014e-059	
1.216541e-051	1.709799e-050	3.874283e-050	1.003601e-050	1.613743e-057	
